city,lat,lng,pop
Eindhoven,51.42997316,5.50001542,200000
Liege,50.62999615,5.580010537,200000
Maastricht,50.85299707,5.677002477,100000
Grenoble,45.18038047,5.720001992,200000
Leeuwarden,53.25037884,5.783357298,100000
Toulon,43.13418645,5.918821566,200000
Arnhem,51.98799603,5.922999562,100000
Besancon,47.22999697,6.03000891,100000
Zwolle,52.52400009,6.096996529,100000
Annecy,45.89997479,6.116670287,75000
Luxembourg,49.61166038,6.130002806,100000
Geneva,46.21000755,6.140028034,200000
Metz,49.1203467,6.180025593,200000
Nancy,48.68368085,6.200024372,100000
Verdun,49.1599,5.3844,100000
Assen,53.00000109,6.550002585,50000
Groningen,53.22040651,6.580001179,100000
Lausanne,46.53042727,6.650022744,100000
Duisburg,51.42997316,6.750016641,200000
Dusseldorf,51.22037355,6.779988972,200000
Cologne,50.93000368,6.950004434,372529
Saarbrucken,49.25039044,6.970003213,200000
Essen,51.44999778,7.016615355,100000
Bonn,50.72045575,7.080022337,200000
Wuppertal,51.25000999,7.169991006,200000
Biel,47.16658999,7.2500378,50000
Nice,43.71501772,7.265023965,200000
Mulhouse,47.75040448,7.34998002,100000
Dortmund,51.52996706,7.450025593,200000
Bern,46.91668276,7.466975462,100000
Basel,47.58038902,7.590017048,200000
Koblenz,50.35047833,7.599990599,200000
Munster,51.97040529,7.620041055,200000
Turin,45.07038719,7.669960489,330743
Strasbourg,48.57996625,7.750007282,200000
Freiburg,48.00041506,7.869948281,200000
Osnabruck,52.28043805,8.049988972,100000
Asti,44.92998232,8.209979206,50000
Oldenburg,53.1299986,8.220004434,100000
Wiesbaden,50.08039146,8.250028441,200000
Mainz,49.98247246,8.273219156,100000
Luzern,47.05042137,8.280000772,100000
Karlsruhe,48.99999229,8.399993448,200000
Esbjerg,55.46703941,8.450016234,50000
Mannheim,49.50037518,8.470015013,100000
Bielefeld,52.02998822,8.530011351,200000
Zurich,47.37998781,8.55001013,200000
Sassari,40.73000612,8.57000891,100000
Bremerhaven,53.55043805,8.579982461,100000
Novara,45.45000226,8.61998002,75000
Giessen,50.58371991,8.650004027,75000
Frankfurt,50.09997683,8.67501542,288989
Heidelberg,49.41999249,8.699975137,200000
Bremen,53.08000165,8.80002071,200000
Genoa,44.40998822,8.930038614,200000
Lugano,46.0003821,8.966677204,50000
Como,45.81000612,9.08000362,100000
Cagliari,39.22239789,9.103981485,200000
Stuttgart,48.77997988,9.199996296,200000
Milan,45.4699752,9.20500891,480631
Saint Gallen,47.42299807,9.361998557,50000
Flensburg,54.78374778,9.433315388,75000
Kassel,51.30000694,9.500029662,200000
Vejle,55.70900103,9.534996498,50000
Bergamo,45.70040041,9.669993448,100000
Hannover,52.36697023,9.716657266,200000
Aalborg,57.03371381,9.916593382,100000
Gottingen,51.52043276,9.920004027,100000
Wurzburg,49.80043439,9.950028034,100000
Ulm,48.40039064,9.999999144,100000
Hamburg,53.55002464,9.999999144,705738
Kiel,54.33039044,10.13001705,200000
Aarhus,56.157204,10.21068396,200000
Livorno,43.55113366,10.3022747,100000
Parma,44.81042889,10.32003129,100000
Odense,55.40037681,10.38333492,100000
Pisa,43.72046958,10.40002641,100000
Braunschweig,52.24997479,10.5000203,200000
Lubeck,53.87039268,10.66998409,200000
Oslo,59.9139,10.7522,200000
Augsburg,48.35000612,10.89999589,200000
